measurement_id,timestamp,panjang_cm,lebar_cm,tinggi_cm,volume_cm3,berat_volumetrik_g,berat_aktual_g,chargeable_weight_g,chargeable_weight_kg,chargeable_source,actual_weight_range_g,detection_mode,detection_image,mask_image,json_file
integrated_20260521_203902_241479,2026-05-21 20:39:02,10.42,8.561,4.741,422.979,70.496,547.019,547.019,0.547019,actual,0.584,hsv_cardboard,hasil_tahap14/archive/detection_20260521_203902_241479.jpg,hasil_tahap14/archive/mask_20260521_203902_241479.jpg,hasil_tahap14/archive/integrated_20260521_203902_241479.json
integrated_20260521_203922_834878,2026-05-21 20:39:22,10.206,8.887,4.462,404.685,67.447,572.982,572.982,0.572982,actual,0.095,hsv_cardboard,hasil_tahap14/archive/detection_20260521_203922_834878.jpg,hasil_tahap14/archive/mask_20260521_203922_834878.jpg,hasil_tahap14/archive/integrated_20260521_203922_834878.json
integrated_20260521_203944_886724,2026-05-21 20:39:44,10.34,8.853,4.466,408.801,68.134,569.995,569.995,0.569995,actual,0.546,hsv_cardboard,hasil_tahap14/archive/detection_20260521_203944_886724.jpg,hasil_tahap14/archive/mask_20260521_203944_886724.jpg,hasil_tahap14/archive/integrated_20260521_203944_886724.json
integrated_20260521_204204_872027,2026-05-21 20:42:04,10.528,8.669,4.462,407.268,67.878,588.85,588.85,0.58885,actual,0.106,hsv_cardboard,hasil_tahap14/archive/detection_20260521_204204_872027.jpg,hasil_tahap14/archive/mask_20260521_204204_872027.jpg,hasil_tahap14/archive/integrated_20260521_204204_872027.json
integrated_20260522_002657_500437,2026-05-22 00:26:57,11.757,10.669,8.819,1106.219,184.37,1307.897,1307.897,1.307897,actual,0.461,hsv_cardboard,hasil_tahap14/archive/detection_20260522_002657_500437.jpg,hasil_tahap14/archive/mask_20260522_002657_500437.jpg,hasil_tahap14/archive/integrated_20260522_002657_500437.json
integrated_20260522_003023_528115,2026-05-22 00:30:23,11.661,10.59,8.812,1088.131,181.355,1294.775,1294.775,1.294775,actual,4.044,hsv_cardboard,hasil_tahap14/archive/detection_20260522_003023_528115.jpg,hasil_tahap14/archive/mask_20260522_003023_528115.jpg,hasil_tahap14/archive/integrated_20260522_003023_528115.json
integrated_20260522_003259_078162,2026-05-22 00:32:59,11.704,10.349,8.817,1067.943,177.991,1317.312,1317.312,1.317312,actual,0.777,hsv_cardboard,hasil_tahap14/archive/detection_20260522_003259_078162.jpg,hasil_tahap14/archive/mask_20260522_003259_078162.jpg,hasil_tahap14/archive/integrated_20260522_003259_078162.json
integrated_20260522_003537_166928,2026-05-22 00:35:37,11.542,8.743,10.726,1082.354,180.392,1335.424,1335.424,1.335424,actual,0.239,hsv_cardboard,hasil_tahap14/archive/detection_20260522_003537_166928.jpg,hasil_tahap14/archive/mask_20260522_003537_166928.jpg,hasil_tahap14/archive/integrated_20260522_003537_166928.json
integrated_20260522_004858_067061,2026-05-22 00:48:58,11.969,8.674,10.734,1114.325,185.721,1331.438,1331.438,1.331438,actual,0.56,hsv_cardboard,hasil_tahap14/archive/detection_20260522_004858_067061.jpg,hasil_tahap14/archive/mask_20260522_004858_067061.jpg,hasil_tahap14/archive/integrated_20260522_004858_067061.json
integrated_20260522_005217_349913,2026-05-22 00:52:17,11.733,10.824,8.81,1118.772,186.462,1311.345,1311.345,1.311345,actual,0.3,hsv_cardboard,hasil_tahap14/archive/detection_20260522_005217_349913.jpg,hasil_tahap14/archive/mask_20260522_005217_349913.jpg,hasil_tahap14/archive/integrated_20260522_005217_349913.json
integrated_20260522_005250_193612,2026-05-22 00:52:50,11.406,9.011,11.054,1136.213,189.369,1329.571,1329.571,1.329571,actual,0.189,hsv_cardboard,hasil_tahap14/archive/detection_20260522_005250_193612.jpg,hasil_tahap14/archive/mask_20260522_005250_193612.jpg,hasil_tahap14/archive/integrated_20260522_005250_193612.json
integrated_20260522_005318_536923,2026-05-22 00:53:18,12.258,8.977,10.42,1146.617,191.103,1337.265,1337.265,1.337265,actual,0.456,hsv_cardboard,hasil_tahap14/archive/detection_20260522_005318_536923.jpg,hasil_tahap14/archive/mask_20260522_005318_536923.jpg,hasil_tahap14/archive/integrated_20260522_005318_536923.json
integrated_20260522_011755_103113,2026-05-22 01:17:55,10.572,8.5,4.731,425.13,70.855,570.97,570.97,0.57097,actual,1.023,hsv_cardboard,hasil_tahap14/archive/detection_20260522_011755_103113.jpg,hasil_tahap14/archive/mask_20260522_011755_103113.jpg,hasil_tahap14/archive/integrated_20260522_011755_103113.json
integrated_20260522_011834_958175,2026-05-22 01:18:34,11.189,9.136,3.001,306.735,51.123,581.662,581.662,0.581662,actual,1.366,hsv_cardboard,hasil_tahap14/archive/detection_20260522_011834_958175.jpg,hasil_tahap14/archive/mask_20260522_011834_958175.jpg,hasil_tahap14/archive/integrated_20260522_011834_958175.json
integrated_20260522_011902_705445,2026-05-22 01:19:02,9.808,4.692,8.236,379.042,63.174,579.726,579.726,0.579726,actual,0.626,hsv_cardboard,hasil_tahap14/archive/detection_20260522_011902_705445.jpg,hasil_tahap14/archive/mask_20260522_011902_705445.jpg,hasil_tahap14/archive/integrated_20260522_011902_705445.json
integrated_20260522_011926_457799,2026-05-22 01:19:26,11.673,4.927,6.487,373.122,62.187,565.751,565.751,0.565751,actual,0.224,hsv_cardboard,hasil_tahap14/archive/detection_20260522_011926_457799.jpg,hasil_tahap14/archive/mask_20260522_011926_457799.jpg,hasil_tahap14/archive/integrated_20260522_011926_457799.json
integrated_20260522_012658_930551,2026-05-22 01:26:58,10.807,8.841,3.857,368.474,61.412,565.393,565.393,0.565393,actual,2.469,hsv_cardboard,hasil_tahap14/archive/detection_20260522_012658_930551.jpg,hasil_tahap14/archive/mask_20260522_012658_930551.jpg,hasil_tahap14/archive/integrated_20260522_012658_930551.json
